date,home_team,away_team,home_score,away_score,H_rank,A_rank,Rank_diff,Rank_value,H_attack,H_defence,A_attack,A_defence
26/03/2013,South Korea,Qatar,2,1,47,105,-58,-0.29,1.598572801,0.349586199,1.132100114,1.00597618
22/05/2013,Oman,Iran,3,1,98,53,45,0.225,0.849812423,0.959286629,2.245475145,0.284859388
29/05/2013,Oman,Lebanon,1,1,98,126,-28,-0.14,1.117422631,0.583586303,0.526930594,1.10841573
04/06/2013,Japan,Australia,1,1,35,47,-12,-0.06,1.915200887,0.929000976,2.219891423,0.551661393
04/06/2013,Lebanon,South Korea,1,1,126,47,79,0.395,0.674388588,1.564560261,1.660966991,0.5636807
04/06/2013,Oman,Iraq,1,0,98,100,-2,-0.01,1.022109406,0.717397378,1.089249037,0.670071389
04/06/2013,Qatar,Iran,0,1,105,53,52,0.26,1.304482962,1.123367184,2.281501204,0.259198135
11/06/2013,Iran,Lebanon,4,0,53,126,-73,-0.365,2.303228136,0.1396522,0.295334503,1.273380927
11/06/2013,Iraq,Japan,0,1,100,35,65,0.325,0.987551836,1.170167681,2.058631922,0.268832173
18/06/2013,Australia,Iraq,1,0,47,100,-53,-0.265,2.016319297,0.406141798,0.826773467,0.857031945
18/06/2013,South Korea,Iran,0,1,47,53,-6,-0.03,1.407946351,0.617208348,1.982999575,0.471819944
20/07/2013,South Korea,Australia,0,0,47,47,0,0,1.385950991,0.648087827,2.28165038,0.507670674
21/07/2013,Japan,China PR,3,3,35,97,-62,-0.31,2.09849555,0.671671986,1.063395073,1.013499443
24/07/2013,South Korea,China PR,0,0,47,97,-50,-0.25,1.569245654,0.390758837,1.12515403,0.969508724
25/07/2013,Japan,Australia,3,2,35,47,-12,-0.06,1.915200887,0.929000976,2.219891423,0.551661393
28/07/2013,Australia,China PR,3,4,47,97,-50,-0.25,2.005321617,0.421581537,1.12515403,0.969508724
28/07/2013,South Korea,Japan,1,2,47,35,12,0.06,1.341960272,0.709846785,1.785863192,0.463124517
06/09/2013,Lebanon,Syria,2,0,126,138,-12,-0.06,1.007984876,1.096221498,1.159161273,1.11797049
09/09/2013,Qatar,Lebanon,1,1,105,126,-21,-0.105,1.572093171,0.747666858,0.562956652,1.082754477
08/10/2013,Lebanon,Iraq,1,1,126,100,26,0.13,0.868680931,1.291791531,1.233353271,0.567426377
09/10/2013,Qatar,Vietnam,1,2,105,142,-37,-0.185,1.630747463,0.665321581,1.506804199,1.147424594
15/10/2013,Iraq,Saudi Arabia,0,2,100,105,-5,-0.025,1.244164365,0.809907095,1.373560966,0.745355572
15/11/2013,Saudi Arabia,Iraq,2,1,105,100,5,0.025,1.290956162,0.95525679,1.125275095,0.644410136
19/11/2013,China PR,Saudi Arabia,0,0,97,105,-8,-0.04,1.52361507,0.796984644,1.358121227,0.756353252
19/11/2013,Lebanon,Iran,1,4,126,53,73,0.365,0.696383948,1.533680782,2.38957938,0.182214376
19/11/2013,Syria,Oman,0,1,138,98,40,0.2,1.371562493,1.022037969,1.313301595,0.772657505
